DISTANCE,AVERAGE DAILY TRAFFIC,SHOULDER,PAVEMENT,MEDIAN,LOCATION_encoded
115,0.004438322620140802,1.0,12.0,5.4,27
6,0.0031756963575145392,4.0,8.0,5.5,22
123,0.004438322620140802,1.0,12.0,5.4,20
118,0.007575757575757576,2.8,8.0,5.5,17
11,0.0031756963575145392,3.0,8.0,5.5,4
16,0.005433119069482705,3.0,8.0,5.5,24
132,0.005433119069482705,3.0,8.0,5.5,11
122,0.004438322620140802,3.0,8.0,5.4,25
121,0.007575757575757576,3.0,15.0,5.7,12
126,0.005433119069482705,4.0,8.6,5.5,23
7,0.0031756963575145392,3.0,8.0,5.5,7
100,0.007575757575757576,3.0,8.0,5.5,2
112,0.0031756963575145392,3.0,8.0,5.7,1
8,0.004438322620140802,1.0,12.0,5.4,14
94,0.004438322620140802,1.0,12.0,5.4,26
124,0.004438322620140802,2.6,14.0,5.8,15
120,0.0031756963575145392,3.0,8.0,5.5,5
21,0.0031756963575145392,3.0,8.0,5.5,0
125,0.004438322620140802,1.0,12.0,5.4,9
